cell_id, m_id,x r,y r,z r,x r+,y r+,z r+,x NL,y NL,z NL,label,t,dx,dy,dz,speed
3227584,3249923,1201.9,464.8,2749.8,1215.2,470.6,2798.0,1210.0,468.3,2797.4,-1,184,0.4241,-2.01158,2.70481,3.39739
3213967,3236078,1225.2,457.3,2627.8,1229.7,459.4,2665.4,1204.9,438.9,2669.2,-1,184,-1.03227,-1.68171,0.80892,2.13263
3227910,3250279,1190.7,484.6,2717.3,1201.3,489.3,2762.9,1194.7,486.2,2763.0,-1,184,0.23807,-1.6598,1.99217,2.60391
3214457,3236603,1203.8,469.9,2675.5,1211.3,473.2,2717.2,1199.0,463.8,2718.1,-1,184,0.24523,-1.74161,1.27408,2.17178
3227586,3249925,1190.6,487.9,2772.8,1206.1,494.5,2823.0,1206.6,496.5,2819.9,-1,184,0.47543,-2.33618,2.41727,3.39513
3214450,3236601,1200.8,493.6,2695.0,1209.7,497.5,2738.2,1200.7,491.7,2739.4,-1,184,0.06544,-1.81261,0.79289,1.97952
3227588,3249927,1169.1,482.0,2758.8,1183.1,488.0,2808.9,1183.3,490.2,2806.3,-1,184,0.54398,-2.25051,2.26381,3.23814
3213940,3236055,1222.7,476.9,2560.0,1223.0,477.1,2574.8,1183.4,440.8,2574.8,-1,184,-0.69952,-0.45509,-1.18,1.44528
3214581,3236738,1229.1,488.5,2766.2,1244.2,494.9,2814.3,1241.2,494.4,2812.1,-1,184,0.7669,-1.45203,2.17228,2.72311
3214579,3236736,1235.6,483.5,2754.4,1249.6,489.6,2801.4,1245.3,487.7,2799.7,-1,184,0.83066,-1.6418,1.95899,2.68759
3214448,3236599,1213.1,482.5,2692.8,1221.9,486.4,2735.4,1210.1,479.2,2736.6,-1,184,-0.23209,-1.61069,0.04236,1.62788
3213935,3235805,1236.4,457.1,2583.1,1237.7,457.9,2608.3,1203.8,424.5,2609.4,-1,184,-1.57005,-0.92846,-0.13352,1.82892
3213965,3236075,1244.6,458.5,2613.1,1248.2,460.3,2648.7,1219.4,434.1,2653.2,-1,184,-0.96368,-1.62323,-0.29828,1.91116
3214543,3236582,1186.9,488.1,2626.1,1191.2,490.2,2664.6,1171.1,474.7,2666.2,-1,184,-0.12817,-1.16137,0.23913,1.19264
3213969,3236077,1224.9,457.1,2630.2,1229.4,459.3,2667.9,1206.0,439.1,2671.7,-1,184,-1.70764,-1.41601,0.31149,2.24012
3213939,3235809,1241.1,470.8,2559.8,1241.3,471.0,2574.2,1200.1,431.4,2573.7,2,184,-0.64578,-1.22662,-0.82337,1.61232
3213908,3236031,1298.2,464.4,2486.8,1300.4,465.1,2467.0,1246.4,406.4,2457.5,-1,184,-0.32353,0.28232,-1.70536,1.75859
3227853,3250219,1255.6,494.4,2800.1,1271.8,501.2,2843.9,1271.5,503.4,2841.3,-1,184,1.01313,-1.75662,2.88418,3.52571
3214594,3236749,1239.2,492.3,2773.8,1255.1,499.1,2822.1,1253.1,499.5,2819.4,-1,184,0.9312,-1.54724,2.85812,3.38082
3214663,3236816,1221.7,559.6,2473.1,1224.8,560.6,2448.2,1158.6,507.3,2434.1,-1,184,-1.45688,0.90443,-3.5443,3.93733
